1,87,13,15
1,93,7,15
1,100,0,1
1,100,0,1
1,100,0,5
1,100,0,9
1,100,0,12
1,100,0,14
1,100,0,15
1,100,0,18
1,100,0,18
1,100,0,18
2,0,100,1
2,0,100,2
2,0,100,5
2,0,100,9
2,0,100,15
2,0,100,15
2,0,100,18
2,0,100,18
2,6,94,17
2,7,93,15
2,13,88,16
2,17,83,12
3,88,12,17
3,93,7,15
3,94,6,16
3,100,0,1
3,100,0,1
3,100,0,5
3,100,0,9
3,100,0,11
3,100,0,15
3,100,0,16
3,100,0,17
3,100,0,18
4,60,40,5
4,100,0,1
4,100,0,2
4,100,0,9
4,100,0,12
4,100,0,15
4,100,0,15
4,100,0,15
4,100,0,16
4,100,0,18
4,100,0,18
4,100,0,18
5,0,100,1
5,0,100,1
5,0,100,5
5,0,100,9
5,0,100,12
5,0,100,15
5,0,100,16
5,0,100,18
5,0,100,18
5,0,100,18
5,6,94,16
5,7,93,15
6,0,100,1
6,0,100,1
6,0,100,6
6,0,100,9
6,0,100,15
6,0,100,15
6,0,100,16
6,0,100,16
6,0,100,17
6,0,100,18
6,0,100,18
6,8,92,12
7,33,67,15
7,59,41,17
7,60,40,15
7,67,33,6
7,71,29,17
7,82,18,17
7,87,13,15
7,88,13,16
7,92,8,12
7,100,0,1
7,100,0,1
7,100,0,9
8,70,30,10
8,80,20,15
8,88,13,16
8,92,8,12
8,94,6,17
8,100,0,1
8,100,0,5
8,100,0,9
8,100,0,15
8,100,0,15
8,100,0,18
